,Instruction,Title,Response
0,Basic agent implementation using OpenAI's GPT model,Demonstrates creating a basic agent with OpenAI's GPT model and using it to generate responses,"use std::env;

use rig::{completion::Prompt, providers};

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    // Create OpenAI client
    let client = providers::openai::Client::new(
        &env::var(""OPENAI_API_KEY"").expect(""OPENAI_API_KEY not set""),
    );

    // Create agent with a single context prompt
    let comedian_agent = client
        .agent(""gpt-4o"")
        .preamble(""You are a comedian here to entertain the user using humour and jokes."")
        .build();

    // Prompt the agent and print the response
    let response = comedian_agent.prompt(""Entertain me!"").await?;
    println!(""{}"", response);

    Ok(())
}"
1,Autonomous agent implementation that continuously updates a counter,Shows how to create an autonomous agent that continuously performs operations until a condition is met,"use rig::providers::openai::Client;
use schemars::JsonSchema;
use std::env;

#[derive(Debug, serde::Deserialize, JsonSchema, serde::Serialize)]
struct Counter {
    /// The score of the document
    number: u32,
}

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    // Create OpenAI client
    let openai_api_key = env::var(""OPENAI_API_KEY"").expect(""OPENAI_API_KEY not set"");
    let openai_client = Client::new(&openai_api_key);

    let agent = openai_client.extractor::<Counter>(""gpt-4"")
        .preamble(""
            Your role is to add a random number between 1 and 64 (using only integers) to the previous number.
        "")
        .build();

    let mut number: u32 = 0;

    let mut interval = tokio::time::interval(std::time::Duration::from_secs(1));

    loop {
        let response = agent.extract(&number.to_string()).await.unwrap();

        if response.number >= 2000 {
            break;
        } else {
            number += response.number
        }

        interval.tick().await;
    }

    println!(""Finished with number: {number:?}"");

    Ok(())
}"
2,Implementation of an agent evaluator and optimizer for code generation,Demonstrates an agent that can evaluate and optimize code implementations through iterative feedback,"use std::env;

use rig::{completion::Prompt, providers::openai::Client};
use schemars::JsonSchema;

#[derive(serde::Deserialize, JsonSchema, serde::Serialize, Debug)]
struct Evaluation {
    evaluation_status: EvalStatus,
    feedback: String,
}

#[derive(serde::Deserialize, JsonSchema, serde::Serialize, Debug, PartialEq)]
enum EvalStatus {
    Pass,
    NeedsImprovement,
    Fail,
}

// ... rest of the implementation ..."
3,Orchestrates multiple agents to break down and handle complex tasks,Shows how to coordinate multiple agents to handle complex tasks by breaking them down into subtasks,"use std::env;

use rig::providers::openai::Client;
use schemars::JsonSchema;

#[derive(serde::Deserialize, JsonSchema, serde::Serialize, Debug)]
struct Specification {
    tasks: Vec<Task>,
}

// ... rest of the implementation ..."
4,Implements parallel processing of tasks using multiple agents,Shows how to run multiple agent operations in parallel for efficient processing,"use std::env;

use rig::pipeline::agent_ops::extract;
use rig::{parallel, pipeline::{self, passthrough, Op}, providers::openai::Client};
use schemars::JsonSchema;

// ... rest of the implementation ..."
5,Demonstrates chaining of prompts between agents,Shows how to chain multiple agents together where output from one becomes input for another,"use std::env;

use rig::{pipeline::{self, Op}, providers::openai::Client};

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    let openai_api_key = env::var(""OPENAI_API_KEY"").expect(""OPENAI_API_KEY not set"");
    let openai_client = Client::new(&openai_api_key);

    let rng_agent = openai_client.agent(""gpt-4"")
        .preamble(""
            You are a random number generator designed to only either output a single whole integer that is 0 or 1. Only return the number.
        "")
        .build();

    // ... rest of implementation ..."
6,Implements agent routing based on input classification,Shows how to route requests to different agents based on input classification,"use std::env;

use rig::{pipeline::{self, Op, TryOp}, providers::openai::Client};

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    let openai_api_key = env::var(""OPENAI_API_KEY"").expect(""OPENAI_API_KEY not set"");
    let openai_client = Client::new(&openai_api_key);

    let animal_agent = openai_client.agent(""gpt-4"")
        .preamble(""
            Your role is to categorise the user's statement using the following values: [sheep, cow, dog]
        "")
        .build();

    // ... rest of implementation ..."
7,Demonstrates agent with context-aware processing,Shows how to create an agent with multiple context documents for enhanced understanding,"use std::env;

use rig::{agent::AgentBuilder, completion::Prompt, providers::cohere};

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    let cohere_client = cohere::Client::new(&env::var(""COHERE_API_KEY"").expect(""COHERE_API_KEY not set""));
    let model = cohere_client.completion_model(""command-r"");

    let agent = AgentBuilder::new(model)
        .context(""Definition of a *flurbo*: A flurbo is a green alien that lives on cold planets"")
        .context(""Definition of a *glarb-glarb*: A glarb-glarb is an ancient tool used by the ancestors of the inhabitants of planet Jiro to farm the land."")
        .context(""Definition of a *linglingdong*: A term used by inhabitants of the far side of the moon to describe humans."")
        .build();

    // ... rest of implementation ..."
8,Integration with DeepSeek's language model,Shows how to integrate DeepSeek's language model with Rig's agent system,"use rig::{completion::{Prompt, ToolDefinition}, providers, tool::Tool};
use serde::{Deserialize, Serialize};
use serde_json::json;

#[tokio::main]
async fn main() -> Result<(), anyhow::Error> {
    let client = providers::deepseek::Client::from_env();
    let agent = client
        .agent(""deepseek-chat"")
        .preamble(""You are a helpful assistant."")
        .build();

    // ... rest of implementation ..."
9,Integration with EchoChambers API for multi-agent chat,Implements integration with EchoChambers API for creating and managing chat rooms with multiple agents,"use anyhow::Result;
use reqwest::header::{HeaderMap, HeaderValue, CONTENT_TYPE};
use rig::{completion::{ToolDefinition}, tool::Tool};
use serde::{Deserialize, Serialize};

// ... rest of implementation ..."
