,Instruction,Title,Response
0,Simple contract that stores a single integer and returns it,Utility - ['BasicStorage'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct IntStorage {
        value: u32
    }
}

#[public]
impl IntStorage {
    pub fn new(initial: u32) -> Self {
        let mut instance = Self::default();
        instance.value = initial;
        instance
    }

    pub fn get_value(&self) -> u32 {
        self.value
    }
}"
1,A simple counter contract that increments on each call,Utility - ['IncrementOnly'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct Counter {
        count: u64
    }
}

#[public]
impl Counter {
    pub fn increment(&mut self) {
        self.count += 1;
    }

    pub fn get_count(&self) -> u64 {
        self.count
    }
}"
2,A decrement-only counter contract,Utility - ['DecrementOnly'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct DecrementCounter {
        count: u64
    }
}

#[public]
impl DecrementCounter {
    pub fn new(initial: u64) -> Self {
        let mut instance = Self::default();
        instance.count = initial;
        instance
    }

    pub fn decrement(&mut self) -> Result<(), String> {
        if self.count == 0 {
            return Err(""Already at zero"".into());
        }
        self.count -= 1;
        Ok(())
    }

    pub fn get_count(&self) -> u64 {
        self.count
    }
}"
3,A contract that toggles a boolean value on each call,Utility - ['BooleanToggle'],"use stylus_sdk::prelude::*;

sol_storage! {
    #[entrypoint]
    pub struct Toggle {
        state: bool
    }
}

#[public]
impl Toggle {
    pub fn new(initial: bool) -> Self {
        let mut instance = Self::default();
        instance.state = initial;
        instance
    }

    pub fn flip(&mut self) {
        self.state = !self.state;
    }

    pub fn get_state(&self) -> bool {
        self.state
    }
}"
4,"Basic ERC20 contract with name MyToken, symbol MTK, and a mint function",ERC20 - ['Mintable'],"pub struct BasicTokenParams;

impl Erc20Params for BasicTokenParams {
    const NAME: &'static str = ""MyToken"";
    const SYMBOL: &'static str = ""MTK"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct BasicToken {
        #[borrow]
        Erc20<BasicTokenParams> erc20;
    }
}

#[public]
#[inherit(Erc20<BasicTokenParams>)]
impl BasicToken {
    pub fn mint_tokens(&mut self, amount: U256) -> Result<(), Erc20Error> {
        self.erc20.mint(msg::sender(), amount)?;
        Ok(())
    }
}"
5,ERC20 token with a burn function,ERC20 - ['Burnable'],"pub struct BurnTokenParams;
impl Erc20Params for BurnTokenParams {
    const NAME: &'static str = ""BurnToken"";
    const SYMBOL: &'static str = ""BRT"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct BurnToken {
        #[borrow]
        Erc20<BurnTokenParams> erc20;
    }
}

#[public]
#[inherit(Erc20<BurnTokenParams>)]
impl BurnToken {
    pub fn burn_tokens(&mut self, amount: U256) -> Result<(), Erc20Error> {
        self.erc20.burn(msg::sender(), amount)?;
        Ok(())
    }
}"
6,ERC20 token with pausable transfers,ERC20 - ['Pausable'],"pub struct PausableTokenParams;

impl Erc20Params for PausableTokenParams {
    const NAME: &'static str = ""PauseToken"";
    const SYMBOL: &'static str = ""PST"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct PausableToken {
        #[borrow]
        Erc20<PausableTokenParams> erc20;
        paused: bool,
        owner: Address
    }
}

#[public]
#[inherit(Erc20<PausableTokenParams>)]
impl PausableToken {
    pub fn new() -> Self {
        let mut instance = Self::default();
        instance.owner = msg::sender();
        instance.paused = false;
        instance
    }

    pub fn pause(&mut self) {
        if msg::sender() == self.owner {
            self.paused = true;
        }
    }

    pub fn unpause(&mut self) {
        if msg::sender() == self.owner {
            self.paused = false;
        }
    }

    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        if self.paused {
            return Err(Erc20Error::Custom(""Contract is paused"".into()));
        }
        self.erc20.transfer(to, amount)
    }
}"
7,ERC20 token with an approval and transferFrom function for delegated transfers,"ERC20 - ['Approval', 'TransferFrom']","pub struct DelegatedTokenParams;

impl Erc20Params for DelegatedTokenParams {
    const NAME: &'static str = ""DelegatedToken"";
    const SYMBOL: &'static str = ""DLT"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct DelegatedToken {
        #[borrow]
        Erc20<DelegatedTokenParams> erc20;
    }
}

#[public]
#[inherit(Erc20<DelegatedTokenParams>)]
impl DelegatedToken {
    // Erc20 already includes approve and transfer_from by default if properly implemented,
    // but here is a sample for reference:
    pub fn approve_spender(&mut self, spender: Address, amount: U256) -> Result<bool, Erc20Error> {
        self.erc20.approve(spender, amount)
    }

    pub fn transfer_from_user(
        &mut self,
        from: Address,
        to: Address,
        amount: U256
    ) -> Result<bool, Erc20Error> {
        self.erc20.transfer_from(from, to, amount)
    }
}"
8,ERC20 token with dynamic transaction fees,ERC20 - ['DynamicFees'],"pub struct FeeTokenParams;

impl Erc20Params for FeeTokenParams {
    const NAME: &'static str = ""FeeToken"";
    const SYMBOL: &'static str = ""FET"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct FeeToken {
        #[borrow]
        Erc20<FeeTokenParams> erc20;
        fee_percent: u8,
        fee_collector: Address
    }
}

#[public]
#[inherit(Erc20<FeeTokenParams>)]
impl FeeToken {
    pub fn new(collector: Address, fee_percent: u8) -> Self {
        let mut instance = Self::default();
        instance.fee_collector = collector;
        instance.fee_percent = fee_percent;
        instance
    }

    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        let fee = (amount * U256::from(self.fee_percent)) / U256::from(100);
        let transfer_amount = amount - fee;
        // Transfer the fee to the collector
        self.erc20._transfer(msg::sender(), self.fee_collector, fee)?;
        // Transfer the remainder to the target
        self.erc20._transfer(msg::sender(), to, transfer_amount)
    }
}"
9,ERC20 token that enforces a maximum transaction limit,ERC20 - ['MaxTransactionLimit'],"pub struct MaxLimitTokenParams;

impl Erc20Params for MaxLimitTokenParams {
    const NAME: &'static str = ""LimitToken"";
    const SYMBOL: &'static str = ""LMT"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct LimitToken {
        #[borrow]
        Erc20<MaxLimitTokenParams> erc20;
        max_tx: U256
    }
}

#[public]
#[inherit(Erc20<MaxLimitTokenParams>)]
impl LimitToken {
    pub fn new(limit: U256) -> Self {
        let mut instance = Self::default();
        instance.max_tx = limit;
        instance
    }

    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        if amount > self.max_tx {
            return Err(Erc20Error::Custom(""Exceeds max transaction limit"".into()));
        }
        self.erc20.transfer(to, amount)
    }
}"
10,ERC20 token with a timelock on the entire supply until a certain block timestamp,ERC20 - ['Timelock'],"pub struct LockTokenParams;

impl Erc20Params for LockTokenParams {
    const NAME: &'static str = ""LockToken"";
    const SYMBOL: &'static str = ""LKT"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct LockToken {
        #[borrow]
        Erc20<LockTokenParams> erc20;
        unlock_time: u64
    }
}

#[public]
#[inherit(Erc20<LockTokenParams>)]
impl LockToken {
    pub fn new(unlock: u64) -> Self {
        let mut instance = Self::default();
        instance.unlock_time = unlock;
        instance
    }

    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        let current_time = block_timestamp();
        if current_time < self.unlock_time {
            return Err(Erc20Error::Custom(""Tokens locked"".into()));
        }
        self.erc20.transfer(to, amount)
    }
}"
11,"ERC20 token that auto-stakes tokens when transferred, storing stakers in a separate list",ERC20 - ['AutoStaking'],"pub struct StakingTokenParams;

impl Erc20Params for StakingTokenParams {
    const NAME: &'static str = ""StakeToken"";
    const SYMBOL: &'static str = ""STK"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct StakingToken {
        #[borrow]
        Erc20<StakingTokenParams> erc20;
        stakers: mapping(Address => bool)
    }
}

#[public]
#[inherit(Erc20<StakingTokenParams>)]
impl StakingToken {
    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        self.erc20.transfer(to, amount)?;
        self.stakers.setter(to).set(true);
        Ok(true)
    }

    pub fn is_staker(&self, user: Address) -> bool {
        self.stakers.get(user)
    }
}"
12,ERC20 token that charges a small fee and burns it on each transfer,ERC20 - ['BurnFee'],"pub struct BurnFeeTokenParams;
impl Erc20Params for BurnFeeTokenParams {
    const NAME: &'static str = ""BurnFeeToken"";
    const SYMBOL: &'static str = ""BFT"";
    const DECIMALS: u8 = 18;
}

sol_storage! {
    #[entrypoint]
    pub struct BurnFeeToken {
        #[borrow]
        Erc20<BurnFeeTokenParams> erc20;
        fee_bps: u16 // basis points
    }
}

#[public]
#[inherit(Erc20<BurnFeeTokenParams>)]
impl BurnFeeToken {
    pub fn new(fee_bps: u16) -> Self {
        let mut instance = Self::default();
        instance.fee_bps = fee_bps;
        instance
    }

    pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Erc20Error> {
        let fee = (amount * U256::from(self.fee_bps)) / U256::from(10000);
        let transfer_amount = amount - fee;
        // burn fee
        self.erc20.burn(msg::sender(), fee)?;
        self.erc20.transfer(to, transfer_amount)
    }
}"
13,An NFT contract that stores a token URI for each token,ERC721 - ['PerTokenURI'],"use stylus_sdk::prelude::*;

pub struct URICollectionParams;
impl Erc721Params for URICollectionParams {
    const NAME: &'static str = ""URICollection"";
    const SYMBOL: &'static str = ""URIC"";
    fn token_uri(_id: U256) -> String {
        """".into() // We'll store URIs in separate storage, so default here
    }
}

sol_storage! {
    #[entrypoint]
    pub struct URICollection {
        #[borrow]
        Erc721<URICollectionParams> erc721;
        token_uris: mapping(U256 => String)
    }
}

#[public]
#[inherit(Erc721<URICollectionParams>)]
impl URICollection {
    pub fn mint_with_uri(&mut self, to: Address, token_id: U256, uri: String) -> Result<(), Erc721Error> {
        self.erc721.mint_with_id(to, token_id)?;
        self.token_uris.setter(token_id).set(uri);
        Ok(())
    }

    pub fn token_uri(&self, token_id: U256) -> Option<String> {
        self.token_uris.get(token_id)
    }
}"
14,A batch-minting NFT contract that mints a range of token IDs in one call,ERC721 - ['BatchMint'],"use stylus_sdk::prelude::*;

pub struct BatchMintParams;
impl Erc721Params for BatchMintParams {
    const NAME: &'static str = ""BatchMintNFT"";
    const SYMBOL: &'static str = ""BMN"";
    fn token_uri(_id: U256) -> String {
        ""https://example.com/metadata"".to_string()
    }
}

sol_storage! {
    #[entrypoint]
    pub struct BatchMintNFT {
        #[borrow]
        Erc721<BatchMintParams> erc721;
    }
}

#[public]
#[inherit(Erc721<BatchMintParams>)]
impl BatchMintNFT {
    pub fn batch_mint(&mut self, to: Address, start_id: U256, end_id: U256) -> Result<(), Erc721Error> {
        let mut token_id = start_id;
        while token_id <= end_id {
            self.erc721.mint_with_id(to, token_id)?;
            token_id += U256::one();
        }
        Ok(())
    }
}"
15,NFT contract with a burn function for the token owner,ERC721 - ['BurnableNFT'],"use stylus_sdk::prelude::*;

pub struct BurnableNFTParams;
impl Erc721Params for BurnableNFTParams {
    const NAME: &'static str = ""BurnableNFT"";
    const SYMBOL: &'static str = ""BNFT"";
    fn token_uri(_id: U256) -> String {
        ""https://burnable.example/"".into()
    }
}

sol_storage! {
    #[entrypoint]
    pub struct BurnableNFT {
        #[borrow]
        Erc721<BurnableNFTParams> erc721;
    }
}

#[public]
#[inherit(Erc721<BurnableNFTParams>)]
impl BurnableNFT {
    pub fn burn_token(&mut self, token_id: U256) -> Result<(), Erc721Error> {
        let owner = self.erc721.owner_of(token_id)?;
        if owner != msg::sender() {
            return Err(Erc721Error::Custom(""Not the owner"".into()));
        }
        self.erc721.burn(owner, token_id)
    }
}"
16,"NFT contract that supports operator approvals, letting a designated address transfer tokens on behalf of the owner",ERC721 - ['OperatorApprovals'],"use stylus_sdk::prelude::*;

pub struct OperatorNFTParams;
impl Erc721Params for OperatorNFTParams {
    const NAME: &'static str = ""OperatorNFT"";
    const SYMBOL: &'static str = ""ONFT"";
    fn token_uri(_id: U256) -> String {
        ""https://operator.example/"".into()
    }
}

sol_storage! {
    #[entrypoint]
    pub struct OperatorNFT {
        #[borrow]
        Erc721<OperatorNFTParams> erc721;
    }
}

#[public]
#[inherit(Erc721<OperatorNFTParams>)]
impl OperatorNFT {
    pub fn set_approval_for_operator(&mut self, operator: Address, approved: bool) -> Result<(), Erc721Error> {
        self.erc721.set_approval_for_all(msg::sender(), operator, approved)
    }

    pub fn transfer_from_operator(&mut self, from: Address, to: Address, token_id: U256) -> Result<(), Erc721Error> {
        self.erc721.transfer_from(from, to, token_id)
    }
}"
