,Instruction,Title,Response
0," Create an ERC20 token with basic mint functionality  
","ERC20 Token Creation
","


pub struct TokenParams; 
impl Erc20Params for TokenParams { 
    const NAME: &'static str = ""MyToken""; 
    const SYMBOL: &'static str = ""MTK""; 
    const DECIMALS: u8 = 18; 
} 

sol_storage! { 
    #[entrypoint] 
    pub struct Token { 
        #[borrow] 
        Erc20<TokenParams> erc20; 
    } 
} 

#[public] 
#[inherit(Erc20<TokenParams>)] 
impl Token { 
    pub fn mint(&mut self, value: U256) -> Result<(), Erc20Error> { 
        self.erc20.mint(msg::sender(), value)?; 
        Ok(()) 
    } 
}

"
1," Create an ERC721 NFT with basic mint and burn functionality  
","ERC721 NFT Creation
","

pub struct NFTParams; 
impl Erc721Params for NFTParams { 
    const NAME: &'static str = ""MyNFT""; 
    const SYMBOL: &'static str = ""MNFT""; 
    fn token_uri(token_id: U256) -> String { 
        format!(""https://api.mynft.com/{}"", token_id) 
    } 
} 

sol_storage! { 
    #[entrypoint] 
    pub struct NFT { 
        #[borrow] 
        Erc721<NFTParams> erc721; 
    } 
} 

#[public] 
#[inherit(Erc721<NFTParams>)] 
impl NFT { 
    pub fn mint(&mut self) -> Result<(), Erc721Error> { 
        self.erc721.mint(msg::sender())?; 
        Ok(()) 
    } 
    
    pub fn burn(&mut self, token_id: U256) -> Result<(), Erc721Error> { 
        self.erc721.burn(msg::sender(), token_id)?; 
        Ok(()) 
    } 
}

"
2," Implement a basic token transfer function  
","Token Transfer Implementation
","

pub fn transfer(&mut self, to: Address, amount: U256) -> Result<bool, Error> { 
    let sender = msg::sender(); 
    let sender_balance = self.balances.get(sender); 
    
    if sender_balance < amount { 
        return Err(Error::InsufficientBalance); 
    } 
    
    self.balances.setter(sender).set(sender_balance - amount); 
    let receiver_balance = self.balances.get(to); 
    self.balances.setter(to).set(receiver_balance + amount); 
    
    evm::log(Transfer { from: sender, to, value: amount }); 
    Ok(true) 
}

"
3," Create a basic approval mechanism for token spending  
","Token Approval Mechanism
","

pub fn approve(&mut self, spender: Address, amount: U256) -> Result<bool, Error> { 
    let owner = msg::sender(); 
    self.allowances.setter(owner).insert(spender, amount); 
    evm::log(Approval { owner, spender, amount }); 
    Ok(true) 
}

"
4," Implement token burning functionality  
","Token Burning
","

pub fn burn(&mut self, amount: U256) -> Result<(), Error> { 
    let burner = msg::sender(); 
    let balance = self.balances.get(burner); 
    
    if balance < amount { 
        return Err(Error::InsufficientBalance); 
    } 
    
    self.balances.setter(burner).set(balance - amount); 
    self.total_supply.set(self.total_supply.get() - amount); 
    
    evm::log(Transfer { 
        from: burner, 
        to: Address::ZERO, 
        value: amount 
    }); 
    Ok(()) 
}

"
5," Create a basic token minting function  
","Token Minting
","

pub fn mint(&mut self, to: Address, amount: U256) -> Result<(), Error> { 
    let new_supply = self.total_supply.get() + amount; 
    self.total_supply.set(new_supply); 
    
    let balance = self.balances.get(to); 
    self.balances.setter(to).set(balance + amount); 
    
    evm::log(Transfer { 
        from: Address::ZERO, 
        to, 
        value: amount 
    }); 
    Ok(()) 
}

"
6," Implement NFT ownership transfer  
","NFT Transfer
","

pub fn transfer(&mut self, from: Address, to: Address, token_id: U256) -> Result<(), Error> { 
    if !self.exists(token_id) { 
        return Err(Error::TokenNotFound); 
    } 
    
    if self.owner_of(token_id)? != from { 
        return Err(Error::NotOwner); 
    } 
    
    self.owners.setter(token_id).set(to); 
    self.balances.setter(from).set(self.balances.get(from) - 1); 
    self.balances.setter(to).set(self.balances.get(to) + 1); 
    
    evm::log(Transfer { from, to, token_id }); 
    Ok(()) 
}

"
7," Create a basic NFT minting function  
","NFT Minting
","

pub fn mint(&mut self, to: Address) -> Result<(), Error> { 
    let token_id = self.next_token_id.get(); 
    
    self.owners.setter(token_id).set(to); 
    self.balances.setter(to).set(self.balances.get(to) + 1); 
    self.next_token_id.set(token_id + 1); 
    
    evm::log(Transfer { 
        from: Address::ZERO, 
        to, 
        token_id 
    }); 
    Ok(()) 
}

"
8," Implement NFT approval mechanism  
","NFT Approval
","

pub fn approve(&mut self, to: Address, token_id: U256) -> Result<(), Error> { 
    let owner = self.owner_of(token_id)?; 
    
    if msg::sender() != owner { 
        return Err(Error::NotOwner); 
    } 
    
    self.token_approvals.setter(token_id).set(to); 
    evm::log(Approval { owner, approved: to, token_id }); 
    Ok(()) 
}

"
9," Create a basic token balance check function  
","Balance Check
","

pub fn balance_of(&self, account: Address) -> U256 { 
    self.balances.get(account) 
}

"
